idx,featAbs1,featAbs2,featAbs3,label
90025,119.599,48.806,47.699,1
90050,106.24,52.33,46.222,1
90075,94.848,44.811,48.002,1
90100,112.012,64.126,40.863,1
90125,110.564,32.538,56.787,1
90150,83.946,54.081,38.635,1
90175,209.019,59.209,51.275,1
90200,71.919,38.27,40.978,1
90225,112.872,47.546,36.25,1
90250,72.45,69.604,35.34,1
90275,160.596,84.398,30.235,1
90300,122.89,66.885,70.114,1
90325,67.443,40.399,75.915,1
90350,142.539,47.158,75.091,1
90375,128.891,59.942,44.65,1
90400,163.614,37.906,63.181,1
90425,311.793,108.277,74.153,1
90450,70.833,108.809,40.984,1
90475,113.996,56.251,57.455,1
90500,280.404,69.318,103.158,0
90525,240.315,108.594,42.561,0
90550,96.093,56.125,70.331,0
90575,149.276,48.08,84.195,0
90600,109.823,31.602,45.265,0
90625,63.407,77.914,77.982,0
90650,179.062,271.579,166.038,0
90675,48.887,147.828,153.494,0
90700,38.152,59.105,104.56,0
90725,33.238,50.367,172.497,0
90750,25.05,55.489,160.074,0
90775,37.111,33.566,60.323,0
90800,65.45,16.667,65.335,0
90825,52.685,8.445,119.652,0
90850,50.107,13.398,115.045,0
90875,36.594,24.297,90.672,0
90900,27.42,25.607,71.345,0
90925,17.28,19.345,71.302,0
90950,11.149,14.526,76.791,0
90975,9.036,23.039,79.615,0
91000,9.18,15.546,99.744,0
91025,13.602,15.288,120.138,0
91050,10.657,14.582,184.424,0
91075,14.74,12.475,237.469,0
91100,14.609,9.431,212.279,0
91125,48.272,6.367,180.78,0
91150,73.451,6.164,150.875,0
91175,66.44,11.728,79.122,0
91200,40.073,9.259,25.508,0
91225,14.484,20.664,80.101,0
91250,11.313,20.269,122.818,0
91275,17.256,33.817,161.664,0
91300,15.642,27.826,173.04,0
91325,17.179,22.589,200.004,0
91350,17.106,8.08,182.983,0
91375,23.438,7.594,178.204,0
91400,22.477,6.464,162.949,0
91425,21.227,14.839,146.798,0
91450,19.507,8.301,113.976,0
91475,15.787,14.119,96.223,0
91500,20.063,16.035,68.236,0
91525,15.854,10.275,51.256,0
91550,14.299,6.957,26.092,0
91575,11.476,15.967,22.562,0
91600,11.593,9.437,19.329,0
91625,10.306,17.693,19.587,0
91650,9.562,12.618,23.543,0
91675,8.079,8.397,20.392,0
91700,12.354,7.545,21.322,0
91725,17.03,7.103,17.132,0
91750,12.555,10.704,21.145,0
91775,13.477,16.62,18.626,0
91800,14.04,6.525,25.318,0
91825,11.303,13.51,25.619,0
91850,7.48,10.336,32.119,0
91875,12.588,12.907,24.938,0
91900,16.523,20.669,34.521,0
91925,16.775,17.424,34.833,0
91950,17.84,10.801,31.161,0
91975,9.959,12.364,26.395,0
92000,12.927,6.372,28.334,0
92025,17.556,9.414,29.305,1
92050,15.852,10.206,33.659,1
92075,18.493,10.962,21.049,1
92100,20.177,8.297,24.69,1
92125,9.937,6.834,21.571,1
92150,13.981,14.59,19.466,1
92175,12.553,6.501,21.172,1
92200,18.916,9.391,21.296,1
92225,14.323,21.69,18.299,1
92250,179.794,92.82,53.456,1
92275,831.672,234.237,73.881,1
92300,471.708,229.518,166.157,1
92325,282.686,152.623,302.798,1
92350,312.871,214.411,327.645,1
92375,223.795,164.011,125.259,1
92400,233.831,165.353,72.472,1
92425,223.116,85.046,89.65,1
92450,167.751,111.568,159.675,1
92475,240.462,85.84,141.192,1
92500,224.186,126.455,155.167,1
92525,213.737,110.105,204.484,1
92550,187.877,100.553,144.585,1
92575,118.274,99.104,113.977,1
92600,179.765,76.55,112.277,1
92625,111.996,87.694,110.081,1
92650,191.785,78.763,94.525,1
92675,115.264,115.783,109.522,1
92700,115.703,96.871,68.584,1
92725,79.209,88.578,55.474,1
92750,130.876,74.722,87.574,1
92775,166.777,96.982,90.338,1
92800,123.371,64.097,43.09,1
92825,103.443,83.648,38.653,1
92850,155.2,71.611,90.374,1
92875,203.395,65.628,57.022,1
92900,89.077,61.854,41.791,1
92925,153.415,41.096,46.981,1
92950,122.78,82.959,49.63,1
92975,85.851,83.67,53.57,1
93000,101.767,80.235,67.088,1
93025,191.419,64.982,72.987,1
93050,84.758,69.17,47.79,1
93075,125.335,86.308,54.21,1
93100,142.652,106.497,40.788,1
93125,161.106,90.764,40.177,1
