m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
157.629,175.417,38809.742,416.224,893.383,501.501,836155.437,1042.984,576.81,91.1,341009.563,691.254,0
342.355,105.566,128351.094,500.76,818.173,780.281,742195.125,1579.686,511.802,103.295,272611.5,654.643,0
590.769,48.209,351332.563,715.575,1294.416,122.94,1690628.125,1591.609,245.611,127.682,76627.258,474.598,0
698.641,49.231,490523.313,762.581,1000.493,73.426,1006377.5,1130.396,87.939,87.93,8859.49,151.052,0
780.542,26.353,609939.875,821.839,937.457,998.005,996511.437,1422.869,231.851,61.219,57502.461,331.531,0
798.212,30.549,638075.312,855.905,1166.832,84.52,1368641.5,1312.944,339.9,57.371,118823.594,436.964,0
762.773,27.373,582571.687,816.907,907.586,65.741,828034.937,1021.236,410.667,38.293,170114.016,475.017,0
660.289,31.979,437003.688,714.637,705.939,51.135,500965.0,794.338,417.737,15.321,174739.266,444.781,0
585.119,42.503,344170.375,654.953,549.094,39.774,303086.156,617.852,373.775,56.956,142951.609,475.297,0
489.985,44.553,242070.484,543.864,427.096,30.937,183368.312,480.578,311.847,32.042,98275.148,372.585,0
381.218,31.302,146307.125,429.979,331.713,24.182,110618.0,373.803,240.475,32.078,58857.434,308.616,0
253.269,27.601,64907.047,333.982,258.504,18.726,67174.914,290.874,168.576,38.12,29871.062,235.522,0
175.194,44.062,32634.221,228.477,201.069,14.564,40640.906,226.248,114.85,32.94,14275.534,155.418,0
97.262,21.728,9931.984,148.655,156.395,11.329,24587.773,175.979,53.107,24.451,3418.205,94.644,0
41.38,27.074,2354.729,90.592,121.646,8.812,14875.492,136.88,33.605,38.949,2150.161,120.888,0
22.249,18.376,677.165,45.782,94.618,6.854,8999.524,106.467,53.416,55.311,5060.874,172.717,0
74.517,21.038,5995.334,111.559,73.595,5.331,5444.627,82.811,63.211,32.869,5075.928,118.358,0
80.826,23.099,7066.408,147.695,57.243,4.147,3293.979,64.411,80.544,34.488,7676.759,151.183,0
97.543,23.219,10053.831,175.918,1251.661,525.643,1824826.375,1903.153,97.582,47.613,11563.4,184.375,0
129.79,15.894,17097.967,156.248,2240.741,211.199,5065526.0,2524.447,115.689,33.292,14492.301,181.911,0
138.495,34.268,20355.182,186.031,2652.408,85.554,7042590.0,2806.251,114.637,32.144,14174.956,167.385,0
112.566,27.724,13439.645,145.163,2194.738,158.978,4842150.0,2469.564,121.701,27.602,15573.006,183.418,0
114.522,27.843,13890.612,174.164,1707.115,123.657,2929532.25,1920.881,118.604,29.805,14955.339,162.53,0
98.473,16.616,9973.065,126.327,1327.831,96.181,1772385.5,1494.103,100.866,41.82,11922.952,167.132,0
106.157,27.567,12029.329,165.074,1032.815,74.812,1072304.5,1162.145,77.666,30.416,6957.099,124.99,0
97.984,25.994,10276.583,151.574,803.346,58.192,648751.062,903.941,77.514,31.357,6991.629,132.941,0
73.852,25.33,6095.681,121.723,624.86,45.263,392498.625,703.105,55.522,22.068,3569.624,103.582,0
68.579,19.926,5100.135,101.124,486.03,35.205,237464.141,546.89,70.672,39.39,6546.12,139.412,0
75.652,28.807,6553.167,142.888,378.044,27.384,143667.312,425.383,51.193,39.819,3264.124,92.793,0
72.797,21.681,5769.544,120.282,294.051,21.301,86919.648,330.872,45.135,33.061,2478.998,86.5,0
63.866,23.626,4637.016,118.297,228.719,16.568,52586.922,257.359,39.117,16.583,1805.124,69.333,0
51.505,23.949,3219.92,90.935,177.903,12.887,31815.426,200.18,30.397,19.322,1192.351,63.836,0
34.39,22.985,1658.611,76.658,138.377,10.023,19248.529,155.704,30.247,29.341,1223.696,61.457,0
46.094,32.443,3121.378,118.524,107.632,7.797,11645.483,121.11,27.365,25.188,1139.362,72.682,0
48.096,27.339,3060.685,105.021,83.719,6.064,7045.59,94.202,18.089,23.34,570.779,56.905,0
28.734,23.231,1104.559,69.246,65.118,4.717,4262.628,73.272,23.395,27.32,820.199,54.065,0
27.436,22.436,1111.768,75.105,50.65,3.669,2578.917,56.993,21.307,24.349,612.501,44.506,0
22.133,20.939,711.234,61.458,39.397,2.854,1560.262,44.33,26.095,25.844,916.331,53.347,0
22.57,23.474,735.274,56.948,30.644,2.22,943.968,34.481,36.217,42.849,1836.279,77.856,0
36.126,25.801,1639.957,71.529,23.835,1.727,571.107,26.82,26.322,34.627,1290.63,82.48,0
32.893,21.629,1544.776,77.659,18.54,1.343,345.523,20.861,20.482,23.61,601.798,47.757,1
29.304,25.171,1155.513,66.85,14.421,1.045,209.044,16.226,33.249,42.673,1821.553,109.373,1
26.954,25.805,941.351,57.847,11.217,0.812,126.473,12.621,24.344,25.909,852.225,63.283,1
26.953,20.576,1017.854,60.386,8.725,0.632,76.517,9.817,17.989,22.322,570.687,64.029,1
25.777,27.655,943.242,54.951,15.051,22.283,536.54,62.796,36.168,45.075,2048.85,85.374,1
32.876,40.241,1620.115,80.707,125.799,87.47,23476.279,325.022,22.605,29.207,855.175,69.996,1
77.648,79.386,12172.236,272.431,526.717,319.809,379707.875,1166.099,48.322,59.537,4165.732,139.916,1
145.788,176.498,31196.883,311.606,2222.793,967.142,5876173.5,3568.425,102.21,109.069,20346.055,386.075,1
524.8,238.104,332108.906,1147.225,2955.869,214.108,8783006.0,3326.006,580.825,220.818,386118.469,1155.402,1
737.983,262.798,613681.812,1195.436,1655.528,1073.083,3791826.5,2587.038,1176.2,294.905,1470414.75,1725.509,1
1460.241,182.878,2165748.25,1714.347,273.961,128.192,91487.656,513.816,893.255,280.706,876700.625,1507.742,1
1360.705,98.562,1861233.125,1531.094,1260.556,872.515,2323354.25,2092.722,416.385,178.747,205326.797,698.824,1
1058.199,76.822,1125686.125,1190.917,1599.564,115.866,2572031.0,1799.863,137.174,116.229,25034.346,267.658,1
809.543,75.844,661112.062,926.366,1244.175,90.124,1556093.25,1399.972,142.197,87.12,27562.186,276.535,1
215.301,244.211,87384.609,723.98,967.745,70.1,941444.75,1088.927,275.259,84.704,82942.109,441.494,1
315.385,181.014,127338.477,590.593,752.732,54.526,569578.812,846.99,359.486,103.97,140039.922,495.69,1
543.949,219.204,343931.0,961.526,585.49,42.411,344597.188,658.806,405.909,62.657,168688.047,508.809,1
778.689,120.857,620963.25,976.445,455.406,32.988,208482.703,512.432,378.983,71.706,148770.187,507.439,1
853.742,106.58,740233.937,1020.362,354.223,25.658,126132.602,398.58,389.769,70.881,156943.812,487.58,1
896.871,52.8,807165.625,999.238,275.522,19.958,76310.477,310.023,367.071,69.742,139605.375,478.664,1
839.068,131.494,721326.375,1006.254,214.306,15.523,46167.988,241.142,331.328,83.314,116719.453,466.445,1
807.958,91.876,661237.375,1000.057,166.691,12.075,27931.631,187.564,280.051,63.864,82507.281,413.618,1
691.413,75.296,483721.406,865.388,129.655,9.392,16898.648,145.891,274.496,66.788,79808.984,395.818,1
599.108,90.823,367179.75,749.857,100.848,7.305,10223.6,113.476,227.741,72.191,57077.477,376.125,1
460.476,90.306,220193.0,620.969,78.44,5.682,6185.197,88.263,185.818,60.11,38141.445,283.025,1
376.895,62.492,145954.781,528.789,61.012,4.42,3741.964,68.652,141.263,72.974,25280.375,281.533,1
242.803,115.25,71729.742,399.682,47.456,3.437,2263.903,53.398,128.008,63.488,19904.697,243.183,1
199.467,109.935,51746.086,421.291,36.912,2.674,1369.64,41.534,106.674,48.075,13467.184,184.483,1
139.692,123.879,26531.988,287.017,28.71,2.08,828.593,32.305,87.831,84.211,10156.313,202.479,1
113.528,125.228,17500.121,272.527,22.331,1.618,501.276,25.127,84.033,103.422,13545.827,281.83,1
69.079,81.763,7347.708,156.595,17.368,1.258,303.244,19.544,76.372,85.798,7997.252,191.47,1
78.978,89.41,9592.796,236.444,13.509,0.979,183.443,15.201,72.106,82.253,7609.583,176.365,1
53.223,57.39,3918.646,147.063,10.507,0.761,110.967,11.823,53.583,49.113,4219.123,144.169,1
71.601,77.66,7444.747,201.064,8.172,0.592,67.125,9.195,84.328,80.585,10130.337,196.687,1
60.686,48.161,5408.876,143.056,6.355,0.461,40.603,7.152,48.541,47.153,3797.401,132.312,1
72.323,65.943,7550.823,190.622,4.943,0.358,24.558,5.562,56.7,32.258,4196.321,103.213,1
93.177,73.785,12423.723,228.527,3.844,0.279,14.852,4.326,50.776,39.932,3337.316,105.68,1
96.531,52.119,12034.65,212.987,2.989,0.217,8.98,3.364,63.469,30.248,4943.294,113.969,1
159.307,78.737,31578.238,322.441,2.324,0.169,5.431,2.615,75.882,31.306,6738.104,150.085,1
94.741,56.192,12133.352,204.907,1.807,0.131,3.283,2.034,66.376,52.078,6767.375,166.582,1
93.348,77.159,11521.411,183.365,1.405,0.102,1.983,1.581,80.092,54.038,8916.002,181.262,1
94.158,71.539,10724.539,191.487,1.091,0.079,1.197,1.229,61.466,41.44,5181.073,145.844,1
