m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
59.695,54.044,5992.24,176.468,390.153,135.876,170681.344,593.359,136.235,166.513,30393.543,453.456,2
228.304,109.407,64092.926,415.177,566.072,55.493,323517.469,690.392,107.606,122.178,18302.168,262.82,2
358.219,65.412,132599.812,457.059,530.444,68.349,286042.688,680.271,108.112,120.932,18606.6,284.774,2
298.617,50.241,91696.578,371.476,1252.312,230.796,1621552.625,1516.97,175.203,200.147,46026.34,399.951,2
116.005,130.395,24468.074,332.74,1137.401,133.859,1311600.5,1320.728,126.855,149.895,23277.857,325.638,2
82.952,81.914,10269.654,218.025,734.826,143.796,560647.312,1002.099,131.416,93.353,25464.893,289.856,2
67.135,61.094,5772.415,123.031,415.276,113.229,185275.187,573.476,199.052,213.498,65508.453,575.112,2
273.499,105.942,86025.062,474.57,175.202,77.28,36667.898,307.102,144.287,125.104,31395.568,351.262,2
381.54,77.317,151551.078,505.031,87.752,104.427,11160.352,215.978,152.089,135.285,34146.559,341.542,2
389.303,47.342,153797.937,447.098,104.524,78.623,14774.131,222.622,144.549,61.846,24719.242,280.478,2
324.261,40.639,106797.031,421.184,177.592,77.185,36855.266,285.054,126.693,113.271,26503.453,345.328,2
264.967,68.12,74847.867,365.591,203.421,55.13,44419.262,301.583,139.847,77.21,25518.633,320.085,2
218.539,52.677,50534.227,299.286,223.459,26.598,50641.559,273.966,104.286,63.96,13778.938,215.936,2
235.956,62.669,59602.859,344.227,248.296,42.645,63469.555,325.032,114.003,106.017,18083.693,250.478,2
358.282,50.375,130903.531,440.958,218.065,74.521,53105.891,316.485,127.902,91.757,24057.432,284.335,2
299.195,47.887,91810.789,404.744,201.209,44.469,42462.555,286.721,77.288,82.68,9613.57,193.959,2
219.668,61.249,52005.645,332.837,185.087,39.302,35801.684,255.138,83.001,100.004,10496.896,211.798,2
106.498,57.382,13626.69,192.56,169.322,47.595,30935.154,261.077,58.519,68.771,6108.998,190.943,2
44.571,51.684,3175.654,120.836,144.974,20.713,21446.439,186.446,29.11,41.659,1789.35,131.614,2
55.987,31.952,4155.459,123.476,112.036,27.439,13304.941,164.3,67.67,83.254,8515.818,233.972,2
127.215,46.355,18332.449,202.744,101.923,23.107,10922.152,154.922,66.564,54.551,6440.492,162.461,2
147.815,35.029,23076.289,235.802,81.52,33.931,7796.891,156.28,69.466,60.629,6768.084,146.632,2
187.043,23.276,35527.035,225.918,72.349,30.799,6182.94,129.658,62.399,85.732,10375.675,360.95,2
199.677,39.077,41397.992,261.764,50.139,24.461,2912.351,80.103,62.375,65.428,6447.161,224.68,2
191.193,30.215,37467.641,255.037,27.376,23.211,968.347,54.495,48.985,51.079,3395.239,124.133,2
209.173,40.048,45356.969,291.208,33.755,37.849,1584.091,82.689,84.603,94.861,11337.644,265.078,2
182.558,34.211,34497.703,252.18,38.46,46.254,2165.018,101.453,57.817,66.937,5140.487,150.654,2
175.815,30.345,31831.607,274.045,21.406,24.099,606.072,48.142,49.074,62.33,3897.947,146.483,2
141.364,33.394,21098.785,205.449,42.075,51.69,2672.243,116.688,96.308,118.327,14638.665,279.465,2
107.699,24.304,12189.804,160.869,27.419,33.709,1227.307,76.516,70.483,94.469,8947.952,266.615,2
69.222,32.311,5835.75,146.917,23.911,28.844,846.781,58.909,42.039,46.447,2425.471,74.489,2
